,Data index,Weights of regression,Bias of regression,Graph_index
10,5,"[0.00053606 0.00026181 0.00020798 0.00027465 0.00026187 0.00026171
 0.00027235 0.00027237 0.00026171 0.00027471 0.00027231 0.00027023
 0.00027028 0.00027476 0.00025466 0.0002905  0.00027243 0.0002702
 0.00027472 0.0002702  0.00026869 0.00045027 0.00029616 0.00029615
 0.00045028]",0.9835866,420
11,5,"[-0.02450059 -0.06023119 -0.06031206 -0.06024167 -0.0603312  -0.06030008
 -0.06030515 -0.06030414 -0.06033466 -0.0603402  -0.06027805 -0.06032681
 -0.06021229 -0.06032582 -0.06027522 -0.06031042 -0.06030713 -0.06032649
 -0.06029849 -0.06020591  0.42971474  0.4297168   0.42928064  0.42852312
  0.42948788]",0.016369402,421
12,6,"[-0.02443792 -0.061932   -0.06188796 -0.05950591 -0.05954089 -0.05983309
 -0.05940731 -0.05940079 -0.05988539 -0.05953273 -0.05942618 -0.05987984
 -0.05941718 -0.05954143 -0.0593993  -0.05942017 -0.05941326 -0.05954337
 -0.05956002 -0.06123965  0.42762417  0.42722702  0.42573467  0.42512655
  0.42719647]",0.016369462,424
13,6,"[0.00096659 0.00025188 0.00026122 0.00012927 0.0002784  0.00027833
 0.0002783  0.00027826 0.0002783  0.00017823 0.00026247 0.00026118
 0.0002625  0.00027829 0.00025898 0.00027841 0.00018853 0.00026249
 0.00025893 0.00025892 0.00020681 0.00042985 0.00022921 0.00022907
 0.00042975]",0.98358643,425
14,7,"[-0.01624556  0.0746218  -0.0518906  -0.05183563 -0.0518366  -0.05182877
 -0.05181006 -0.05179823 -0.05182956 -0.05182512 -0.05181728 -0.05181488
 -0.05182931 -0.05187972 -0.05183521 -0.05181047 -0.0518083  -0.05182819
 -0.05183814 -0.05178992  0.43556866  0.434884    0.43478048  0.11756159
  0.42311442]",0.016370207,428
15,7,"[-0.04053883 -0.04053161 -0.04044493 -0.04050616 -0.04050726 -0.04048577
 -0.04050609 -0.04045128 -0.04047406 -0.04046001 -0.04045569 -0.04050977
 -0.04048177 -0.04048768 -0.04052392 -0.04050865 -0.04047889 -0.04046582
 -0.04045615 -0.04051521  0.44487453  0.4459617   0.4459174   0.44368142]",0.016368568,429
16,8,"[-0.02526415 -0.05966377 -0.05929598 -0.05967727 -0.0599834  -0.05965079
 -0.05966859 -0.06044082 -0.05929058 -0.05929309 -0.05929859 -0.05827032
 -0.05998097 -0.0592985  -0.05928764 -0.05927694 -0.05929874 -0.06000362
 -0.05998535 -0.05999299  0.4271838   0.42677298  0.42707428  0.425148
  0.42527345]",0.016369224,432
17,8,"[-0.02307277 -0.05790876 -0.05996785 -0.05998112 -0.05789956 -0.06066772
 -0.06065247 -0.06057934 -0.06056036 -0.06062654 -0.06062553 -0.0606232
 -0.0606636  -0.06067146 -0.06060816 -0.06063051 -0.06062993 -0.06066157
 -0.06066812 -0.06062645  0.4294733   0.4294615   0.42887908  0.42775446
  0.4291288 ]",0.016369104,433
18,9,"[-0.02253488 -0.06063201 -0.0603946  -0.0604238  -0.06040124 -0.06061
 -0.06037415 -0.06054371 -0.06073493 -0.06043334 -0.06054782 -0.05820416
 -0.06039384 -0.06038193 -0.06060944 -0.06042766 -0.06039662 -0.05820392
 -0.06067598 -0.06042883  0.4294777   0.42900994  0.4288579   0.42727068
  0.4287298 ]",0.016369224,436
19,9,"[-0.02439388 -0.06132574 -0.05969713 -0.06137757 -0.05959972 -0.05972757
 -0.05978819 -0.05962006 -0.06153048 -0.05981284 -0.05973917 -0.05959963
 -0.0595893  -0.05957419 -0.0610039  -0.05952164 -0.06103236 -0.05959854
 -0.05957103 -0.05957974  0.42822906  0.42802748  0.42732695  0.4260073
  0.4279697 ]",0.016369224,437
20,10,"[0.00049437 0.00025819 0.00025809 0.00029673 0.00029659 0.0002967
 0.00028117 0.00027484 0.00015412 0.00026753 0.0001792  0.00028122
 0.00029659 0.00026608 0.00028104 0.00022912 0.00026599 0.00028118
 0.0002967  0.00028118 0.00021541 0.00048831 0.00025763 0.00025776
 0.00048817]",0.9835866,440
21,10,"[0.0010187  0.00024757 0.00024964 0.00024961 0.0002505  0.00025265
 0.00023575 0.00024966 0.0002492  0.00023499 0.00024962 0.00024966
 0.00024765 0.0002349  0.00023495 0.00023491 0.00024958 0.00023575
 0.0002554  0.00024963 0.00031314 0.00050153 0.00027891 0.00027886
 0.00050154]",0.9835866,441
22,11,"[-0.0229646  -0.05961935 -0.06041134 -0.06052771 -0.0605052  -0.06041216
 -0.05990466 -0.05983546 -0.06042177 -0.06038643 -0.0604285  -0.06050663
 -0.06052364 -0.06042535 -0.06043848 -0.06034505 -0.06041721 -0.06042666
 -0.06041458 -0.06050958  0.42945278  0.42952186  0.4289053   0.4282964
  0.42931965]",0.016369462,444
23,11,"[0.00059205 0.00020494 0.00025438 0.00025421 0.0002315  0.00019694
 0.00025423 0.00023276 0.00024507 0.00024505 0.00033701 0.0002298
 0.00033716 0.00025116 0.00024506 0.00033705 0.0002554  0.00025433
 0.00026943 0.00025422 0.00032893 0.00053797 0.00032101 0.00032101
 0.00053799]",0.98358655,445
24,12,"[-0.0229066  -0.05130209 -0.06073658 -0.06072555 -0.06073724 -0.06073634
 -0.06072537 -0.06065925 -0.06072579 -0.060722   -0.06063705 -0.0607233
 -0.06073891 -0.06062774 -0.06072036 -0.06073944 -0.06072954 -0.06072843
 -0.06072626 -0.06072026  0.4289688   0.4289943   0.42852077  0.42758375
  0.42876554]",0.016369432,448
25,12,"[-0.02464904 -0.06110671 -0.06141224 -0.05919653 -0.05957971 -0.0594476
 -0.05944131 -0.0596034  -0.05924211 -0.05943697 -0.06083278 -0.05925744
 -0.05924046 -0.05958448 -0.06177203 -0.05924308 -0.05945405 -0.05927858
 -0.05923288 -0.05927842  0.42775095  0.4268732   0.42603266  0.42437178
  0.42677993]",0.016369522,449
26,13,"[ 2.3596946e-04  4.0577457e-04  2.7919078e-04  3.3403974e-04
  3.2000264e-04  2.9255921e-04  2.9255034e-04  2.8743717e-04
  2.9249655e-04  3.3393363e-04  3.3383491e-04  2.8750446e-04
  3.3388662e-04  3.3389742e-04  3.3389049e-04  3.3392766e-04
  2.8750033e-04  3.2000893e-04  3.1996588e-04  3.3390449e-04
 -8.2069280e-05  8.7803943e-05  2.5456407e-04  2.5452184e-04
  8.7938417e-05]",0.98358655,452
27,13,"[-0.02221628 -0.05953673 -0.06063088 -0.06058105 -0.06058959 -0.05988411
 -0.05951974 -0.06055546 -0.06056849 -0.06061111 -0.06058111 -0.06058117
 -0.06056978 -0.06057019 -0.06058033 -0.06058104 -0.05987969 -0.0605759
 -0.06056171 -0.05950605  0.42944738  0.429443    0.42892095  0.42806697
  0.42929357]",0.016368955,453
28,14,"[-0.0225023  -0.05941239 -0.06058793 -0.06061005 -0.06058172 -0.0605972
 -0.06058129 -0.06058832 -0.05956953 -0.05956732 -0.06058139 -0.05986763
 -0.06059082 -0.06058408 -0.06059102 -0.06058267 -0.0605626  -0.06057336
 -0.05984621 -0.06058842  0.4295258   0.42949325  0.4290142   0.42806137
  0.4293464 ]",0.016369194,456
29,14,"[2.15259133e-04 2.31767190e-04 1.38576419e-04 2.13001156e-04
 9.82242869e-04 1.34253176e-04 1.83921715e-04 1.31224151e-04
 1.65677309e-04 1.34240458e-04 3.78191733e-04 1.83962708e-04
 1.32261892e-04 1.38400137e-04 1.65924372e-04 1.32291613e-03
 9.84364306e-06 1.38215284e-04 1.32294721e-03 1.32208894e-04
 5.10471291e-05 3.02141678e-04 1.06305786e-04 1.06290114e-04
 3.02118860e-04]",0.9835866,457
30,15,"[-0.02468623 -0.05937862 -0.06014666 -0.06010221 -0.06023432 -0.06012494
 -0.05961187 -0.06015554 -0.06015825 -0.06016302 -0.06016    -0.06015497
 -0.06025722 -0.05963145 -0.06023275 -0.06024716 -0.06016896 -0.0601647
 -0.06024664 -0.06015305  0.4285363   0.42849165  0.42848754  0.42842305
  0.4282996 ]",0.016369402,460
31,15,"[-0.02285007 -0.05964415 -0.06050246 -0.06053496 -0.06052995 -0.05971952
 -0.05923095 -0.06052291 -0.06052285 -0.06054175 -0.06050164 -0.06054007
 -0.06057373 -0.06054285 -0.05922353 -0.06055646 -0.06052779 -0.06055842
 -0.06054324 -0.06055683  0.429459    0.42944962  0.4290551   0.42803434
  0.42928177]",0.016369164,461
32,16,"[-0.02347145 -0.05088416 -0.06065705 -0.0606735  -0.06068232 -0.06068199
 -0.06067499 -0.06067781 -0.06069373 -0.06069609 -0.06073788 -0.06070428
 -0.06068479 -0.0606874  -0.06066137 -0.06066582 -0.06069627 -0.06073404
 -0.06069649 -0.06072339  0.42875913  0.4287243   0.4282006   0.42754468
  0.4286145 ]",0.016369283,464
33,16,"[-0.02448929 -0.06033573 -0.06034984 -0.06033077 -0.06035662 -0.06030597
 -0.06027239 -0.06031376 -0.06033001 -0.0602535  -0.06026791 -0.06032092
 -0.06035634 -0.06024656 -0.06033276 -0.0603179  -0.06026503 -0.06033032
 -0.06033253 -0.06032301  0.42988828  0.42983204  0.42927253  0.42839026
  0.4296565 ]",0.016369075,465
34,17,"[-0.02362487 -0.06066161 -0.05094912 -0.06063768 -0.06065905 -0.0606747
 -0.0607163  -0.06066278 -0.06066711 -0.06065317 -0.06067568 -0.0606576
 -0.0606656  -0.06068905 -0.0606571  -0.06066836 -0.06065228 -0.06066238
 -0.06066395 -0.06070188  0.42874217  0.42862374  0.42814782  0.42762527
  0.42849097]",0.016369402,468
35,17,"[-0.02373132 -0.05095309 -0.06066003 -0.06065969 -0.06057644 -0.06069972
 -0.06067309 -0.06064162 -0.06056724 -0.06067843 -0.060666   -0.0606677
 -0.06065716 -0.0606553  -0.06066009 -0.06059133 -0.06070436 -0.06058259
 -0.06069309 -0.06066141  0.42868784  0.42857012  0.42815146  0.4275821
  0.4284716 ]",0.016369402,469
36,18,"[-0.02224508 -0.06008376 -0.06022782 -0.06043703 -0.06042889 -0.06042741
 -0.06044734 -0.06012237 -0.06042748 -0.06040068 -0.06022537 -0.06015353
 -0.06044077 -0.0604027  -0.06042545 -0.06044244 -0.06042347 -0.0604113
 -0.06041456 -0.06042532  0.42947277  0.4294428   0.42910963  0.42842793
  0.42920703]",0.016369164,472
37,18,"[0.00068472 0.00023013 0.0002812  0.00028119 0.00026922 0.00024925
 0.00024924 0.0002302  0.00024923 0.00028134 0.00024243 0.00024259
 0.00028124 0.00033381 0.00028122 0.00028138 0.00024924 0.00025082
 0.00033382 0.00025084 0.00027557 0.00049232 0.00027124 0.00027139
 0.00049233]",0.98358643,473
38,19,"[-0.02233115 -0.05964123 -0.05971983 -0.06051207 -0.06051495 -0.06051821
 -0.0605047  -0.06037641 -0.06048807 -0.06039552 -0.06049606 -0.06045169
 -0.06037423 -0.0605014  -0.06038718 -0.06054289 -0.06049468 -0.06040375
 -0.06044585 -0.06049363  0.4296413   0.42967045  0.42906672  0.42827526
  0.4294809 ]",0.016369075,476
39,19,"[-0.02449738 -0.06140938 -0.06016344 -0.06133227 -0.05961603 -0.05962528
 -0.06007489 -0.05967609 -0.05955731 -0.06001949 -0.05970668 -0.0595183
 -0.06001775 -0.06008665 -0.0613829  -0.06003434 -0.05948692 -0.05950979
 -0.05954496 -0.05953508  0.42801633  0.4278058   0.42715585  0.42592415
  0.42778355]",0.016369283,477
40,20,"[0.00069567 0.00025429 0.0002536  0.00025357 0.00027358 0.00027352
 0.00025364 0.00020919 0.00025359 0.00025064 0.00028912 0.00027294
 0.00025575 0.0002554  0.00026152 0.0002615  0.00025429 0.00025359
 0.00027297 0.00028911 0.00031434 0.00047689 0.00031522 0.00031583
 0.00047759]",0.9835866,480
41,20,"[-4.7344103e-04 -6.6945550e-04  3.3703523e-03 -5.4476561e-04
 -3.9861968e-04 -1.4219638e-04  4.6737288e-04 -5.2331307e-04
  3.5404628e-05  3.9033839e-04  4.6745845e-04  3.9033295e-04
  5.4710254e-04  4.4674973e-04 -1.9953068e-04  5.2352552e-04
  5.2353239e-04 -6.0058833e-04  5.4706470e-04  4.6731153e-04
 -5.8212230e-04 -1.0314154e-04  5.9905584e-04  5.9912005e-04
 -1.0312821e-04]",0.9835867,481
42,21,"[-0.02307678 -0.05989255 -0.06063133 -0.06045949 -0.05973238 -0.06055877
 -0.06057938 -0.0605727  -0.06056532 -0.06061865 -0.06057311 -0.06057615
 -0.06058339 -0.06061152 -0.05828962 -0.0582866  -0.06059169 -0.06059019
 -0.06063509 -0.06050028  0.4291956   0.42923486  0.42895862  0.4278749
  0.4290983 ]",0.016369164,484
43,21,"[0.00067411 0.00037989 0.00053708 0.00023205 0.0002426  0.00023733
 0.00024597 0.00023206 0.00023206 0.00023197 0.00023733 0.00023206
 0.00023205 0.00023206 0.00023492 0.00023209 0.00023723 0.00023197
 0.00023499 0.00038    0.00028288 0.00049829 0.00032363 0.00032355
 0.00049829]",0.98358655,485
44,22,"[0.00097764 0.00026225 0.00027004 0.00026223 0.00027019 0.00015917
 0.00026033 0.00026024 0.0002701  0.00027012 0.00027003 0.00027011
 0.00027011 0.00025273 0.00020539 0.00025958 0.00019279 0.0002701
 0.00027006 0.00025956 0.00021198 0.00042083 0.00022856 0.00022857
 0.00042089]",0.9835866,488
45,22,"[-0.02419427 -0.06153689 -0.0612592  -0.05975794 -0.05980153 -0.05958205
 -0.05960277 -0.05959992 -0.0597984  -0.059601   -0.05980594 -0.05956009
 -0.05958773 -0.059774   -0.06101212 -0.06100569 -0.05957907 -0.06139021
 -0.05958223 -0.05959949  0.4281914   0.4280258   0.42731878  0.42599872
  0.4279931 ]",0.016369581,489
46,23,"[0.00046482 0.00023334 0.00013827 0.0002922  0.0001491  0.00031036
 0.00058853 0.00018939 0.00025611 0.00028154 0.00028154 0.00028153
 0.00025614 0.00029225 0.00025616 0.00025612 0.00028155 0.00019797
 0.00031037 0.00019801 0.00031225 0.00042498 0.0003077  0.00030766
 0.00042499]",0.98358655,492
47,23,"[-0.02451348 -0.06027648 -0.06024076 -0.06033689 -0.06033935 -0.0603425
 -0.06032216 -0.06026118 -0.06023929 -0.06034005 -0.06032543 -0.06034277
 -0.06031653 -0.06033713 -0.06034878 -0.06034897 -0.06034448 -0.06030022
 -0.06022646 -0.06034438  0.42986807  0.42985004  0.42928427  0.4284879
  0.4296126 ]",0.016369253,493
48,24,"[-0.02805442  0.06052931 -0.06449403 -0.06524073 -0.06522213 -0.06521657
 -0.06452149 -0.06524515 -0.06525796 -0.06520295 -0.06523751 -0.06524055
 -0.06522948 -0.06524228 -0.0645292  -0.06523532 -0.06523012 -0.06523858
 -0.06452002 -0.0652239   0.42447397  0.42389786  0.42361602  0.41940936
  0.42318797]",0.016368687,496
49,24,"[-0.02503176 -0.06030387 -0.06030489 -0.05975971 -0.06015642 -0.06025167
 -0.06021695 -0.06027099 -0.06021474 -0.06015882 -0.06024452 -0.05973893
 -0.06026085 -0.06016814 -0.06028172 -0.0602259  -0.06016562 -0.0602804
 -0.06030291 -0.06023446  0.42912486  0.42909014  0.42887333  0.42844066
  0.42893058]",0.016369402,497
50,25,"[-0.02345494 -0.05977856 -0.0600772  -0.05977419 -0.05992347 -0.05993446
 -0.05990946 -0.05992882 -0.05944683 -0.05991561 -0.06006842 -0.06009065
 -0.0600737  -0.06007757 -0.06007468 -0.05943601 -0.06006189 -0.0600692
 -0.06006873 -0.05991689  0.42852908  0.4280326   0.42798585  0.42624494
  0.426943  ]",0.016369432,500
51,25,"[-0.02284599 -0.06014302 -0.06000129 -0.06013424 -0.06003276 -0.06008719
 -0.05878168 -0.06007193 -0.05878681 -0.06006963 -0.06004335 -0.05984687
 -0.06006041 -0.05987371 -0.06006037 -0.06004852 -0.06004168 -0.06003235
 -0.06005946 -0.06005428  0.4283361   0.4278351   0.42739993  0.4261964
  0.4276808 ]",0.016369194,501
52,26,"[0.00087877 0.00016691 0.00025291 0.00019336 0.0001984  0.0002583
 0.00024909 0.00022273 0.00024076 0.0002529  0.00025291 0.0002529
 0.00024107 0.00025281 0.00025262 0.00066107 0.00020839 0.00025573
 0.00025278 0.00022278 0.00028987 0.00043691 0.0003019  0.00030232
 0.00043691]",0.9835867,504
53,26,"[1.9090179e-04 1.3399776e-04 3.0183804e-04 3.0715452e-04 3.2203278e-04
 3.4677752e-04 2.9730584e-04 3.2947154e-04 3.0180454e-04 3.0186088e-04
 3.2953476e-04 3.2201584e-04 3.0185387e-04 3.8990489e-04 3.9075970e-04
 3.0188027e-04 3.2957247e-04 3.2196869e-04 3.2200399e-04 3.2947736e-04
 7.9662874e-05 1.5284566e-04 2.0178474e-04 2.0173099e-04 1.5284645e-04]",0.98358655,505
54,27,"[-0.0239697  -0.06101982 -0.06026322 -0.06014173 -0.06099082 -0.05818399
 -0.06014295 -0.06098602 -0.06042833 -0.06025521 -0.06009846 -0.06024553
 -0.06028507 -0.05823578 -0.06042718 -0.060441   -0.06016089 -0.06043809
 -0.06043155 -0.06043329  0.42924425  0.429154    0.42857715  0.42681962
  0.42856422]",0.016369611,508
55,27,"[-0.02283983 -0.05970387 -0.0604734  -0.06049333 -0.06039346 -0.05981796
 -0.06048636 -0.06036548 -0.06038763 -0.06046486 -0.06039866 -0.06048387
 -0.06038952 -0.06032799 -0.06039419 -0.06038119 -0.06040357 -0.06039306
 -0.06040758 -0.06054829  0.4295823   0.4295857   0.42887178  0.42836234
  0.42941236]",0.016369224,509
56,28,"[-0.02342064 -0.05939288 -0.06020042 -0.06026602 -0.06047325 -0.06046037
 -0.06034481 -0.06036131 -0.05961331 -0.06035867 -0.06030023 -0.06035626
 -0.05963393 -0.06035271 -0.06034906 -0.06037519 -0.06029715 -0.06046966
 -0.06029706 -0.06036299  0.42898643  0.42893618  0.42891338  0.42838416
  0.42877042]",0.016369313,512
57,28,"[ 3.15953104e-04  4.48911334e-04  3.03108682e-04  3.03154666e-04
  3.03121604e-04  3.08462186e-04  3.03073728e-04  3.03145527e-04
  3.12947464e-04  3.14619538e-04  3.02641536e-04  3.03240347e-04
  3.03140492e-04  3.03080393e-04  3.02587403e-04  3.03130626e-04
  3.03039735e-04  3.03040579e-04  3.03045003e-04  3.02547647e-04
 -1.19903707e-05  1.05497675e-04  2.62160669e-04  2.62104149e-04
  1.05607003e-04]",0.9835866,513
58,29,"[-0.02410868 -0.06146963 -0.06014303 -0.05975474 -0.06144839 -0.06143928
 -0.06008114 -0.05963494 -0.06009726 -0.05963568 -0.06012158 -0.05958957
 -0.06011117 -0.05958557 -0.05958388 -0.0601218  -0.05962551 -0.05955868
 -0.05963675 -0.05963507  0.42813748  0.42795664  0.42714325  0.42592147
  0.4279324 ]",0.016369522,516
59,29,"[-8.9791481e-04 -5.2785844e-04 -4.9533264e-04 -7.4055174e-04
  5.5620680e-04  5.5642426e-04  5.3089909e-04  5.5622018e-04
 -6.3534721e-04  5.3894939e-04  5.5120047e-04  4.9707608e-04
  5.8064330e-04  5.5641495e-04  5.5621151e-04  5.5039022e-04
  5.9502223e-04  5.5038166e-04  5.5124762e-04  5.5340573e-04
 -8.3466235e-04 -6.3332485e-04  5.0241186e-05  5.0268623e-05
 -6.3333573e-04]",0.98358685,517
60,30,"[ 0.00023456  0.00016435  0.00019284  0.00020228  0.00022359  0.00022357
  0.00015496  0.0002195   0.00022354  0.00022356  0.00025151  0.00061035
  0.00022035  0.00021941  0.0002278   0.00021937  0.00022347  0.00025136
  0.00040665  0.00025152  0.00078209 -0.00031342 -0.00065032 -0.00032589]",0.9835869,520
61,30,"[ 1.7715544e-04  4.6244473e-05  1.7233014e-04  2.7979107e-04
  3.1430915e-04  3.1429797e-04  3.1428915e-04  2.9775285e-04
  3.1432920e-04  2.4634739e-04  3.8268743e-04  3.8269654e-04
  3.8269319e-04  3.8266246e-04  3.1429410e-04  3.6306033e-04
  3.1874317e-04  3.2236570e-04  3.1428004e-04  3.2237783e-04
 -6.7535730e-05  1.3923022e-04  2.3507021e-04  2.3512231e-04
  1.3918555e-04]",0.9835866,521
62,31,"[-0.02322079 -0.06028707 -0.06020586 -0.06029123 -0.06037497 -0.06037424
 -0.06039133 -0.06021043 -0.06038642 -0.06038134 -0.06023728 -0.06038463
 -0.06038656 -0.06037046 -0.06038194 -0.06037942 -0.06036752 -0.06031398
 -0.06038617 -0.06023836  0.4296177   0.4295749   0.42924684  0.42849225
  0.42933387]",0.016369224,524
63,31,"[-0.02295053 -0.05979435 -0.0582935  -0.06061105 -0.05989483 -0.06063477
 -0.06062124 -0.06060262 -0.0606231  -0.06059524 -0.0582885  -0.06059279
 -0.06060559 -0.06061263 -0.06059586 -0.06057921 -0.06062036 -0.0605962
 -0.06062687 -0.06059033  0.42938104  0.42938918  0.4289849   0.4278951
  0.42916068]",0.016369373,525
64,32,"[-5.6760246e-04  3.0533667e-04 -6.0281210e-04  3.3294273e-04
  3.3298391e-04 -1.0034763e-03 -3.0147666e-04  6.7037879e-04
 -7.9401000e-04 -5.7217694e-05  6.7039649e-04  5.6082383e-04
  6.7081186e-04  3.0855660e-04  3.1895511e-04 -5.7122525e-05
  3.1936177e-04  2.8471608e-04  6.7039102e-04  6.7047251e-04
  2.9236340e-04  5.5205449e-04  6.1591173e-04  6.1586942e-04
  5.5204594e-04]",0.9835868,528
65,32,"[ 0.00024929  0.00018795  0.00023418  0.00023098  0.00016127  0.00020828
  0.00024185  0.00021357  0.00041007  0.00023558  0.00023096  0.00023094
  0.00024185  0.00019954  0.00021249  0.00024185  0.000213    0.00021254
  0.0002418   0.00020375  0.00087203 -0.00023556 -0.00056028 -0.00023583]",0.98358685,529
66,33,"[7.31104228e-04 2.70978780e-04 2.55180406e-04 7.20843673e-06
 3.24411027e-04 3.22580076e-04 3.02811328e-04 5.08641824e-06
 3.58392484e-04 3.24519497e-04 3.58355785e-04 3.58350895e-04
 3.12773336e-05 1.16574825e-04 3.58372170e-04 3.58403719e-04
 3.24337510e-04 3.58382909e-04 3.40767205e-04 3.24404566e-04
 2.33401195e-04 2.32007631e-04 2.73495098e-04 2.73444573e-04
 2.31988728e-04]",0.98358667,532
67,33,"[2.23287556e-04 2.80728331e-04 3.12457705e-04 3.12590681e-04
 5.94681362e-04 3.24295368e-04 3.12741962e-04 2.98644154e-04
 2.99162464e-04 2.99107778e-04 9.83789359e-05 2.93451216e-04
 1.00840218e-04 2.93737568e-04 1.00553705e-04 3.13003664e-04
 3.12736578e-04 1.36422444e-04 1.36497227e-04 3.12437798e-04
 2.72653851e-04 4.47384024e-04 2.98498722e-04 2.98492203e-04
 4.47542901e-04]",0.9835866,533
68,34,"[0.00051404 0.00028569 0.00028571 0.00028568 0.00026067 0.00015473
 0.00027888 0.00027889 0.00027886 0.0002857  0.00027895 0.00027887
 0.00027354 0.00027353 0.00020245 0.0001996  0.00028567 0.00028578
 0.00027064 0.00027065 0.00021568 0.0004707  0.00025023 0.00025027
 0.00047065]",0.9835866,536
69,34,"[-0.02460104 -0.06000002 -0.06005291 -0.06030196 -0.06032008 -0.06036845
 -0.06012196 -0.0600381  -0.06038226 -0.06037764 -0.06030289 -0.06030861
 -0.06032099 -0.06030314 -0.06038485 -0.06030495 -0.06038764 -0.06030682
 -0.06032182 -0.0604622   0.42969844  0.42962995  0.42906427  0.4285137
  0.42954144]",0.016369283,537
