,Data index,Weights of regression,Bias of regression,Graph_index
21,[10],"[0.00147381 0.00027431 0.00028929 0.00028925 0.00029024 0.00028435
 0.00027766 0.00028929 0.00027615 0.00027679 0.00028923 0.00028928
 0.00027441 0.00027668 0.00027676 0.00027669 0.00028917 0.00027766
 0.00027959 0.00028925 0.0006125  0.00045044 0.00061862 0.00061855
 0.00045045]",0.97903675,441
22,[11],"[-0.00047389 -0.00046491 -0.00046457 -0.00047429 -0.00046566 -0.00047462
 -0.00046482 -0.00046677 -0.00046482 -0.00047411 -0.0004643  -0.00047434
 -0.00046608 -0.00046549 -0.00046559 -0.00045739 -0.00046537 -0.00046544
 -0.00047388 -0.00046499 -0.00047308 -0.00046611 -0.00042966 -0.0004751
 -0.0004737 ]",0.97903675,444
23,[11],"[-0.00045125 -0.00045042 -0.00044981 -0.0004501  -0.00045129 -0.00045119
 -0.00045039 -0.00044686 -0.00044643 -0.00044849 -0.00044976 -0.00044997
 -0.00044801 -0.00045058 -0.00045006 -0.00045043 -0.00044959 -0.00044934
 -0.00045037 -0.00045095 -0.00044972 -0.00045007 -0.00044808 -0.00044823
 -0.00045002]",0.97903675,445
24,[12],"[-0.00033636 -0.00034534 -0.00045902 -0.00047321 -0.00034429 -0.00046306
 -0.00046196 -0.00045217 -0.00047288 -0.00046282 -0.00034428 -0.00047203
 -0.0004625  -0.00045837 -0.00046204 -0.00046194 -0.00046235 -0.00047254
 -0.00046323 -0.00046292 -0.00046338 -0.00046264 -0.00046289 -0.00046213
 -0.00046329]",0.9790367,448
25,[12],"[ 0.06755354 -0.06480088 -0.06510828 -0.0630312  -0.06306481 -0.06294077
 -0.06293292 -0.06309183 -0.0627759  -0.0629273  -0.06453915 -0.06273924
 -0.06272549 -0.06306833 -0.0653827  -0.06272765 -0.06294731 -0.06275491
 -0.06271592 -0.06275551  0.42175725  0.42082044  0.41905588  0.41883847
  0.42090622]",0.020919144,449
26,[13],"[-1.7964192e-05  1.4093646e-04  5.1878009e-04  5.0500635e-04
  4.9159088e-04  4.9941230e-04  4.9938215e-04  5.0368306e-04
  4.9932289e-04  5.0485216e-04  5.0476636e-04  5.0375849e-04
  5.0481444e-04  5.0481642e-04  5.0481939e-04  5.0486159e-04
  5.0374231e-04  4.9159513e-04  4.9153611e-04  5.0483365e-04
 -1.1284230e-04 -2.9613619e-04 -9.7584300e-05 -9.7629963e-05
 -2.9596986e-04]",0.9790368,452
27,[13],"[ 0.07124214 -0.06368779 -0.06427525 -0.06422726 -0.06423991 -0.063922
 -0.06326553 -0.0642226  -0.06421775 -0.06425325 -0.06423001 -0.06422991
 -0.0642146  -0.06420228 -0.06422561 -0.06422521 -0.06386188 -0.06421141
 -0.06420366 -0.0632516   0.42371804  0.42363405  0.42340058  0.42236483
  0.42403224]",0.020918578,453
28,[14],"[ 0.07045557 -0.06348943 -0.06415701 -0.06417827 -0.06414807 -0.06416988
 -0.0641453  -0.06415796 -0.06318298 -0.06318711 -0.06414518 -0.06383252
 -0.06416573 -0.06414783 -0.06415336 -0.06416149 -0.06412608 -0.06414405
 -0.06374872 -0.06415591  0.42359987  0.42349845  0.42329255  0.42234313
  0.42362982]",0.020918906,456
29,[14],"[-0.00046743 -0.00046602 -0.00046743 -0.00046652 -0.00046621 -0.00045822
 -0.00045927 -0.00045893 -0.00045976 -0.00045922 -0.0004597  -0.00045888
 -0.00046704 -0.00045789 -0.00046562 -0.00045977 -0.00045946 -0.00046603
 -0.00045937 -0.00046693 -0.00046648 -0.00045977 -0.00044868 -0.00046793
 -0.00046614]",0.97903675,457
30,[15],"[-0.00045075 -0.00045595 -0.00045224 -0.00045913 -0.00045171 -0.00045115
 -0.00045528 -0.00045812 -0.00045697 -0.00045079 -0.00045935 -0.0004583
 -0.0004526  -0.00046002 -0.00045262 -0.000456   -0.00045086 -0.00046097
 -0.00045583 -0.00045581 -0.00045693 -0.00045056 -0.00044319 -0.00045582
 -0.0004558 ]",0.9790368,460
31,[15],"[-0.00044625 -0.00045378 -0.00045188 -0.00059496 -0.00045581 -0.00045671
 -0.00044519 -0.00044732 -0.00044537 -0.00044664 -0.00045699 -0.00048499
 -0.00049348 -0.00044693 -0.00044838 -0.00049423 -0.00044702 -0.00044776
 -0.00045585 -0.00044683 -0.00048744 -0.00045506 -0.00045268 -0.00045499
 -0.00045482]",0.9790366,461
32,[16],"[-0.00035332 -0.00034324 -0.00046078 -0.0004802  -0.00046164 -0.00046993
 -0.00045616 -0.00048526 -0.00045454 -0.00045709 -0.00046163 -0.00045692
 -0.00046982 -0.000455   -0.00035593 -0.00046972 -0.00045545 -0.00045571
 -0.00046249 -0.00047063 -0.00045999 -0.00046118 -0.00046008 -0.00047126
 -0.00045992]",0.9790366,464
33,[16],"[ 0.06657083 -0.06395208 -0.06393623 -0.06395533 -0.06392959 -0.06392893
 -0.06373896 -0.06394868 -0.06386469 -0.06372473 -0.06373277 -0.06385237
 -0.06394264 -0.06371124 -0.06389187 -0.06394772 -0.06373513 -0.06387321
 -0.06389809 -0.06384756  0.42386508  0.42372054  0.42351007  0.42256588
  0.42409968]",0.020918906,465
34,[17],"[-0.00045621 -0.00045005 -0.00044975 -0.0004518  -0.00045341 -0.00045052
 -0.00046089 -0.00045819 -0.00046174 -0.00045412 -0.00045499 -0.00045243
 -0.0004558  -0.00045895 -0.00045687 -0.00045726 -0.0004571  -0.00044963
 -0.00045599 -0.00045476 -0.00045787 -0.0004523  -0.00045254 -0.00045561
 -0.00045847]",0.9790366,468
35,[17],"[ 0.0690169  -0.0562904  -0.06425234 -0.06432861 -0.06417759 -0.06436729
 -0.06434148 -0.06424711 -0.06415566 -0.06427094 -0.06425726 -0.06425437
 -0.06431775 -0.06424711 -0.06425087 -0.06418058 -0.06429975 -0.06416842
 -0.06428456 -0.06425381  0.42303887  0.4229571   0.42283836  0.42232782
  0.42313036]",0.020918906,469
36,[18],"[-0.00045615 -0.00045015 -0.00045622 -0.00045632 -0.00045638 -0.00045524
 -0.0004505  -0.00045629 -0.00048245 -0.00044964 -0.00044955 -0.0004743
 -0.00047597 -0.00045495 -0.00045045 -0.00048155 -0.00044946 -0.00045633
 -0.00045034 -0.00045004 -0.00044952 -0.00045557 -0.00045558 -0.00044533
 -0.00048236]",0.97903675,472
37,[18],"[-0.00045183 -0.00045758 -0.00045222 -0.00045846 -0.00045619 -0.00045741
 -0.00045321 -0.00045049 -0.00045204 -0.00045652 -0.00045418 -0.00045742
 -0.00045627 -0.00045206 -0.000452   -0.00045584 -0.00045215 -0.00045655
 -0.00045668 -0.00045621 -0.00045744 -0.00045747 -0.0004584  -0.0004506
 -0.00045249]",0.9790367,473
38,[19],"[ 0.07124015 -0.06370314 -0.06376182 -0.06415353 -0.06417014 -0.06416457
 -0.06414637 -0.06401496 -0.06415381 -0.06406186 -0.0641647  -0.06409402
 -0.06401358 -0.06415568 -0.06402348 -0.06419029 -0.06414167 -0.06405744
 -0.06409009 -0.06413621  0.42370608  0.42366907  0.42338082  0.42251375
  0.42407253]",0.020919085,476
39,[19],"[ 0.06781624 -0.06510023 -0.0636864  -0.0650411  -0.0631646  -0.06317858
 -0.06362354 -0.06322293 -0.06311113 -0.06355677 -0.06325208 -0.06307233
 -0.06356962 -0.06361618 -0.06498286 -0.06357868 -0.06303941 -0.06306897
 -0.06309357 -0.0630976   0.4222863   0.4219499   0.4210816   0.42023218
  0.42175558]",0.020919085,477
40,[20],"[0.00091044 0.00033123 0.00033046 0.00033724 0.00030211 0.00030204
 0.0003305  0.00022265 0.00033044 0.00024723 0.00041343 0.00029478
 0.00028729 0.00025386 0.0003401  0.00034008 0.00033124 0.00033044
 0.00029483 0.00041342 0.0006032  0.00036455 0.00063702 0.00063088
 0.00036532]",0.97903687,480
41,[20],"[-1.2507723e-03 -9.5088547e-04  2.4444663e-03 -9.8783488e-04
 -4.3858981e-04 -2.7356413e-04  6.6153530e-04 -1.3515757e-03
  3.5198260e-04  4.7821263e-04  6.6157192e-04  4.7826694e-04
  6.6183385e-04  2.7120131e-04  5.1572686e-04  6.2437041e-04
  6.2433252e-04 -1.1528394e-03  6.6178181e-04  6.6141842e-04
 -9.2433137e-04 -6.4570733e-05  5.8106659e-04  5.8109814e-04
 -6.4543019e-05]",0.9790372,481
42,[21],"[-0.00035434 -0.0003546  -0.00047269 -0.00046125 -0.00034872 -0.00047446
 -0.00047081 -0.00046261 -0.00045881 -0.0004668  -0.00046622 -0.00046922
 -0.00047142 -0.00046546 -0.00047044 -0.00047265 -0.00047788 -0.00035418
 -0.00046668 -0.00046402 -0.00046981 -0.00046943 -0.0004659  -0.00046958
 -0.00047051]",0.9790367,484
43,[21],"[0.00076942 0.00039238 0.00060844 0.00028628 0.00027996 0.00028777
 0.00029953 0.00028629 0.0002863  0.00028618 0.00028779 0.00028628
 0.00028628 0.00028628 0.00031091 0.00028632 0.00028766 0.00028618
 0.00031099 0.00039249 0.00061131 0.00048437 0.00068852 0.00068842
 0.00048434]",0.9790367,485
44,[22],"[0.00150898 0.00029045 0.00033706 0.00029048 0.00033724 0.000279
 0.00028341 0.00028331 0.00033713 0.00033715 0.00033701 0.00033714
 0.00033714 0.00029733 0.00029353 0.00033134 0.00030103 0.00033712
 0.00033706 0.0003313  0.00030957 0.00048426 0.00035452 0.00035451
 0.0004843 ]",0.9790368,488
45,[22],"[ 0.06877668 -0.06527867 -0.06511964 -0.0633931  -0.06342992 -0.06320707
 -0.06327784 -0.0632247  -0.06342377 -0.06322851 -0.0634305  -0.06318579
 -0.06321216 -0.06339653 -0.06451367 -0.06450751 -0.06320413 -0.06503103
 -0.06320482 -0.06322712  0.42234585  0.42229864  0.42162102  0.42022362
  0.4222243 ]",0.020918548,489
46,[23],"[-0.0004546  -0.00046109 -0.00045659 -0.00045543 -0.00046066 -0.00045661
 -0.00045382 -0.00045589 -0.00046241 -0.000456   -0.00046024 -0.00045412
 -0.00046366 -0.00045977 -0.00046313 -0.00046252 -0.00045314 -0.00046078
 -0.00046141 -0.0004592  -0.00046067 -0.00045804 -0.00045494 -0.00045003
 -0.00046194]",0.9790368,492
47,[23],"[ 0.06648439 -0.06391463 -0.06391229 -0.06389588 -0.06389338 -0.06383656
 -0.06383607 -0.06392461 -0.06390278 -0.06389745 -0.06383699 -0.06385489
 -0.06382762 -0.06391117 -0.06391221 -0.06394193 -0.06391096 -0.06392571
 -0.06388488 -0.06392561  0.42411923  0.42409813  0.42353073  0.42267802
  0.42412686]",0.020919502,493
48,[24],"[-0.00045255 -0.00045239 -0.0004574  -0.00045719 -0.00045617 -0.00045067
 -0.00045717 -0.00045782 -0.00045264 -0.00045585 -0.00045661 -0.0004525
 -0.00045287 -0.000452   -0.00045786 -0.00045083 -0.00045878 -0.00045792
 -0.00045305 -0.00045583 -0.00045079 -0.0004476  -0.00045705 -0.00045785
 -0.00045664]",0.9790367,496
49,[24],"[ 0.06586254 -0.06388648 -0.06388758 -0.06349453 -0.06378743 -0.06385794
 -0.06382369 -0.06385435 -0.063822   -0.06377052 -0.06385738 -0.06349422
 -0.06384468 -0.06379414 -0.06386507 -0.06383738 -0.06379798 -0.06386365
 -0.06388564 -0.06384036  0.42365208  0.42362377  0.4233574   0.42288545
  0.4236481 ]",0.020918667,497
50,[25],"[-0.00045635 -0.00046429 -0.0004577  -0.00045751 -0.00045702 -0.00047196
 -0.00046439 -0.00046644 -0.00046572 -0.00045856 -0.00046304 -0.00046288
 -0.00045729 -0.00045774 -0.00046404 -0.00046679 -0.00045764 -0.0004573
 -0.00046509 -0.00046585 -0.00046384 -0.00046562 -0.00047079 -0.00047161
 -0.00044666]",0.9790368,500
51,[25],"[ 0.06872208 -0.06361082 -0.06354934 -0.06360598 -0.06335842 -0.063403
 -0.06210931 -0.06338081 -0.06212001 -0.06354451 -0.06332657 -0.06316887
 -0.06334844 -0.06318842 -0.06335381 -0.06333921 -0.06332952 -0.06333225
 -0.06335215 -0.0635322   0.42147863  0.42116266  0.42092034  0.41926697
  0.4212242 ]",0.020919055,501
52,[26],"[-0.00046058 -0.00045558 -0.00046082 -0.0004561  -0.00046215 -0.00046191
 -0.00045462 -0.00046112 -0.00045447 -0.00046297 -0.00045625 -0.00046189
 -0.00046226 -0.00045481 -0.00045276 -0.00045512 -0.00045512 -0.00045365
 -0.0004621  -0.00046181 -0.00046052 -0.00045449 -0.00044956 -0.00046262
 -0.00046249]",0.9790368,504
53,[26],"[-1.45726211e-04 -7.37897353e-05  4.31082211e-04  5.29148732e-04
  5.33214887e-04  6.69416040e-04  5.65132708e-04  5.13973820e-04
  4.31048597e-04  4.31090943e-04  5.14158222e-04  4.93626110e-04
  4.31090215e-04  6.41489867e-04  6.45927212e-04  4.31103283e-04
  5.16105501e-04  4.93476982e-04  4.93594678e-04  5.14007057e-04
 -1.44430582e-04 -9.99000913e-05 -1.20175362e-04 -1.20219396e-04
 -9.99066397e-05]",0.97903675,505
54,[27],"[-0.00045265 -0.0004519  -0.00045695 -0.00045207 -0.00045305 -0.00044965
 -0.00045725 -0.00045657 -0.00045709 -0.00045003 -0.000451   -0.00045571
 -0.00045727 -0.0004514  -0.00045223 -0.00045768 -0.00045862 -0.00045701
 -0.0004579  -0.0004509  -0.00045249 -0.00045679 -0.00045836 -0.00045826
 -0.00045801]",0.9790366,508
55,[27],"[-0.00046505 -0.00046332 -0.00046355 -0.00046441 -0.0004579  -0.00046391
 -0.00045719 -0.00046408 -0.00045711 -0.00045772 -0.00046531 -0.00045712
 -0.00046363 -0.0004574  -0.00046511 -0.00046475 -0.00046419 -0.00046673
 -0.00046488 -0.00046301 -0.00046606 -0.00046562 -0.00046548 -0.00046493
 -0.00046351]",0.97903675,509
56,[28],"[-0.00044914 -0.00045295 -0.00045227 -0.0004548  -0.00044982 -0.000449
 -0.0004543  -0.00045346 -0.00045411 -0.00044874 -0.00045125 -0.00045342
 -0.00045229 -0.00045351 -0.00045242 -0.00044962 -0.00045282 -0.00045322
 -0.0004535  -0.00044952 -0.00044864 -0.00044948 -0.00044926 -0.00045221
 -0.0004488 ]",0.9790367,512
57,[28],"[-0.00033096 -0.00044715 -0.00044542 -0.00044679 -0.0004483  -0.00045057
 -0.00033178 -0.00048878 -0.00044986 -0.00044614 -0.00045072 -0.00044972
 -0.00044867 -0.00048534 -0.00044568 -0.00045069 -0.00048936 -0.00048978
 -0.00045154 -0.00044608 -0.00048731 -0.00044624 -0.00044445 -0.00044903
 -0.00044577]",0.9790366,513
58,[29],"[-0.00044864 -0.00044878 -0.00044253 -0.00044316 -0.00044046 -0.00044233
 -0.00044574 -0.00048937 -0.00044115 -0.00044823 -0.00049505 -0.000442
 -0.00049613 -0.00044745 -0.00044308 -0.00049216 -0.00044067 -0.00043755
 -0.00044691 -0.0004481  -0.00044924 -0.00044619 -0.00049618 -0.0004478
 -0.00044733]",0.9790367,516
59,[29],"[-0.00046556 -0.00046649 -0.00045975 -0.00045846 -0.0004647  -0.00046695
 -0.00046689 -0.00045733 -0.00046659 -0.00046706 -0.00045988 -0.00046612
 -0.00046733 -0.00045946 -0.00045781 -0.00045882 -0.00046062 -0.00046528
 -0.00045918 -0.00045943 -0.00046485 -0.00045909 -0.00045898 -0.00046678
 -0.00044335]",0.97903675,517
60,[30],"[-0.00046171 -0.00046074 -0.00045382 -0.00045413 -0.00045421 -0.00046101
 -0.0004612  -0.0004621  -0.0004624  -0.00045452 -0.00045381 -0.00046254
 -0.00046022 -0.00045966 -0.00045469 -0.00046188 -0.00045383 -0.00045474
 -0.0004549  -0.00045543 -0.00046137 -0.00046169 -0.00045637 -0.00046178
 -0.00045526]",0.9790367,520
61,[30],"[-0.00045534 -0.00044883 -0.0004526  -0.00045449 -0.00045004 -0.00044854
 -0.00045404 -0.00044886 -0.00045342 -0.0004523  -0.00045058 -0.00045461
 -0.00044802 -0.00045471 -0.0004534  -0.00044825 -0.00044784 -0.00045233
 -0.00045427 -0.00045351 -0.00045407 -0.00044936 -0.0004533  -0.00044785
 -0.00045436]",0.9790366,521
62,[31],"[-0.00044864 -0.00045441 -0.00045176 -0.00045297 -0.00044835 -0.00045224
 -0.00045454 -0.00044855 -0.0004542  -0.00045343 -0.00045284 -0.00045318
 -0.00044953 -0.00044848 -0.0004508  -0.00044783 -0.00044791 -0.00045383
 -0.00045423 -0.0004539  -0.0004533  -0.0004538  -0.00045338 -0.00044871
 -0.00045067]",0.97903675,524
63,[31],"[ 0.06937122 -0.06382463 -0.06206442 -0.06418358 -0.06391542 -0.06420177
 -0.06419278 -0.06416304 -0.06418315 -0.06415702 -0.06206062 -0.06415247
 -0.06416552 -0.0642198  -0.06415503 -0.06414025 -0.06423429 -0.06415443
 -0.06419337 -0.06414066  0.4236469   0.42353952  0.4233549   0.42217493
  0.42355025]",0.020918787,525
64,[32],"[-0.00134815  0.00051257 -0.00111509  0.00049719  0.00049726 -0.00177208
 -0.00100782  0.00108691 -0.0013027  -0.00020516  0.00108688  0.00099526
  0.00108745  0.00044065 -0.00041532 -0.00020484 -0.00041459  0.00044154
  0.0010871   0.00108706  0.00055141  0.00103145  0.00101297  0.00101278
  0.00103148]",0.9790369,528
65,[32],"[2.2087349e-04 1.6527355e-04 2.9096994e-04 4.0196715e-04 1.4066344e-04
 1.9248645e-04 3.4647374e-04 2.2111875e-04 3.3355947e-04 2.9466493e-04
 4.0192297e-04 4.0186968e-04 3.4649359e-04 2.4686885e-04 2.9208366e-04
 3.4650732e-04 2.3813726e-04 2.9207175e-04 3.4649411e-04 1.7896210e-04
 1.5752913e-03 8.5157488e-05 5.9863116e-05 1.8801281e-04]",0.9790369,529
66,[33],"[-0.00044854 -0.00045462 -0.00045424 -0.00044997 -0.00045409 -0.00044926
 -0.00044913 -0.00045332 -0.00045342 -0.00045449 -0.0004542  -0.00045327
 -0.0004533  -0.0004493  -0.00044924 -0.0004536  -0.00044995 -0.00044887
 -0.00045039 -0.00045337 -0.00044534 -0.00045389 -0.000453   -0.00045446
 -0.00045401]",0.9790366,532
67,[33],"[0.00028861 0.00031434 0.00039681 0.00039697 0.00080946 0.00034191
 0.00039713 0.00036965 0.00032778 0.00032773 0.00022135 0.00031419
 0.00025138 0.0003145  0.00025106 0.0003974  0.00039714 0.00023976
 0.00023993 0.00039678 0.00032872 0.00052734 0.00034681 0.00034683
 0.00052753]",0.97903687,533
68,[34],"[0.00077241 0.00038233 0.00038236 0.00038232 0.0002988  0.00027759
 0.00035992 0.00035994 0.00035989 0.00038234 0.00035999 0.00035992
 0.00031411 0.00031415 0.000287   0.00028512 0.00038231 0.00038245
 0.00030206 0.00030208 0.00033182 0.00052843 0.00036608 0.00036614
 0.00052837]",0.97903675,536
69,[34],"[-0.00056017 -0.00044469 -0.00044826 -0.00044469 -0.00044496 -0.0004437
 -0.00044469 -0.00044002 -0.00044055 -0.00044386 -0.00044416 -0.00044135
 -0.000445   -0.00044428 -0.0004439  -0.00044458 -0.00044447 -0.00044441
 -0.00044628 -0.0004448  -0.00044502 -0.00044393 -0.00044942 -0.00044504
 -0.00044832]",0.9790366,537
70,[35],"[ 0.07105564 -0.06379374 -0.06379367 -0.06415604 -0.06398685 -0.06399047
 -0.06415601 -0.0641605  -0.06415994 -0.06415283 -0.06416395 -0.06415141
 -0.06415105 -0.06416193 -0.06414995 -0.06399591 -0.06416579 -0.06415424
 -0.064164   -0.06416111  0.42404556  0.42405406  0.42335898  0.42246115
  0.42400083]",0.020918727,540
