,Weights of regression,Bias of regression
19,"[ 0.1198209  -0.05479158 -0.06671326 -0.06677958 -0.06677634 -0.06669322
 -0.06675562 -0.06679483 -0.0667882  -0.06678732 -0.06669696 -0.06677413
 -0.06676783 -0.06675458 -0.06677325 -0.06669313 -0.06677215 -0.0667727
 -0.06674978 -0.06514829  0.42134055  0.42135763  0.42104873  0.42108247
  0.42146865]",0.019827604
20,"[ 0.11968031  0.02171767 -0.06563241 -0.06595262 -0.06599269 -0.06598987
 -0.06595392 -0.0659865  -0.06599279 -0.06595384 -0.06598731 -0.06598832
 -0.06600292 -0.06597613 -0.06594878 -0.0659641  -0.06595675 -0.06598056
 -0.0655157  -0.06593557  0.42011744  0.42075154  0.33863962  0.41398522
  0.42011842]",0.019827753
21,"[ 0.12232127 -0.06610735 -0.06651021 -0.06660005 -0.06651191 -0.06612187
 -0.06536133 -0.0664625  -0.06640391 -0.06659099 -0.06647997 -0.06655806
 -0.06654286 -0.06657004 -0.06543707 -0.06656147 -0.06648358 -0.0664762
 -0.06650936 -0.06656331  0.42228633  0.42221448  0.42215624  0.4217081
  0.4221709 ]",0.019827455
22,"[-0.00080206 -0.00114369 -0.00097843 -0.00077447 -0.00017729  0.00091148
 -0.00097846 -0.00017814  0.0009114  -0.00074378 -0.00017726  0.00012496
 -0.00017722  0.00089757 -0.00109399  0.0009346   0.00091148  0.00091153
  0.00088321 -0.00109893  0.00110827  0.00097846  0.00109466  0.00109555
  0.00097942]",0.9801281
23,"[ 5.24684903e-04  3.26626119e-04  4.92625404e-05  1.15016504e-04
 -2.55420746e-05  6.43765670e-04  1.08909793e-04  1.08856606e-04
  1.35408307e-04  1.08878157e-04  1.08869572e-04  6.43787323e-04
  1.23748626e-03  1.35421025e-04  1.05472558e-04  1.15014700e-04
  1.36479823e-04  1.36394141e-04  1.05458661e-04  1.05458486e-04
  7.93682411e-04  2.24260628e-04  7.34880334e-04  7.34861242e-04
  2.24287709e-04]",0.98012793
24,"[ 0.12118334 -0.06618541 -0.0663235  -0.06634913 -0.06635001 -0.06636059
 -0.06634735 -0.06620707 -0.0663471  -0.06633721 -0.06620533 -0.06633889
 -0.06632684 -0.06635501 -0.06631808 -0.06635886 -0.06634369 -0.0663344
 -0.06634445 -0.06634469  0.4219178   0.42196745  0.42252076  0.421967
  0.4227398 ]",0.019827604
25,"[-0.12462353  0.25383177  0.2535625   0.25354367  0.25363955  0.2536039
  0.25264293 -0.11707526  0.25263762 -0.11687475 -0.11707553  0.2518769
 -0.11749981  0.25144657 -0.11688951  0.25159714 -0.11756163 -0.11941721
 -0.12449197 -0.12458237 -0.11827428 -0.11703302 -0.11874436 -0.1187168
 -0.11704767]",0.019832432
26,"[ 0.11944638  0.02102086 -0.06653687 -0.06647517 -0.06649883 -0.06651764
 -0.0665189  -0.06652826 -0.066525   -0.06649581 -0.06653588 -0.06651309
 -0.0665251  -0.06650536 -0.06652282 -0.06651695 -0.06651944 -0.06649418
 -0.06651467 -0.06652659  0.4195435   0.42031184  0.35318935  0.41267133
  0.41932383]",0.019827604
27,"[0.00115467 0.0002866  0.00030746 0.00026175 0.00027093 0.00030749
 0.00026118 0.0003075  0.00026095 0.00027099 0.0002658  0.0002658
 0.00030744 0.0003075  0.00028723 0.00028715 0.00021964 0.00028257
 0.00030751 0.00028719 0.00044072 0.00027954 0.00038481 0.00038479
 0.00027959]",0.98012793
28,"[ 0.1207793   0.02142981 -0.06670853 -0.06664804 -0.06671339 -0.06662894
 -0.06664991 -0.06672649 -0.06665584 -0.06670915 -0.06663622 -0.06670545
 -0.0666389  -0.066666   -0.06665504 -0.06664293 -0.06662542 -0.06662829
 -0.0666494  -0.06663883  0.42019042  0.42018858  0.35364214  0.4128047
  0.41897428]",0.019827604
29,"[ 0.11872602 -0.06623175 -0.06625398 -0.06622729 -0.06620736 -0.06621763
 -0.06623385 -0.06622183 -0.06624243 -0.0662376  -0.06623957 -0.06620856
 -0.06623129 -0.06622364 -0.06620844 -0.06624547 -0.06624743 -0.06623185
 -0.0662291  -0.06625273  0.42210913  0.42209774  0.42273664  0.4220994
  0.42282325]",0.019827694
30,"[-0.04059509 -0.04058446 -0.04051241 -0.04046131 -0.04049153 -0.04047707
 -0.04047265 -0.04049521 -0.04049135 -0.04048498 -0.04048772 -0.04046632
 -0.04049587 -0.04045614 -0.0404451  -0.04047948 -0.04048255 -0.04049744
 -0.04044721 -0.04060674  0.4434653   0.44444183  0.44560137  0.44335276]",0.019827336
31,"[ 0.11947709  0.02088101 -0.06647934 -0.06648292 -0.06647497 -0.06647884
 -0.06649545 -0.06649686 -0.06647466 -0.06648776 -0.06647242 -0.06648965
 -0.06652082 -0.06648394 -0.06646953 -0.06651212 -0.06649628 -0.06650795
 -0.06649009 -0.06650104  0.41975862  0.42035195  0.35259306  0.41276315
  0.41921481]",0.019827545
32,"[ 0.12134726 -0.06610208 -0.0659791  -0.06607869 -0.06612095 -0.0660997
 -0.06475894 -0.06609377 -0.0647777  -0.06613734 -0.06612688 -0.06611358
 -0.0661144  -0.06610395 -0.06607904 -0.06609987 -0.06611019 -0.06612466
 -0.06611504 -0.0661252   0.42072085  0.4206549   0.42100182  0.4204
  0.4211961 ]",0.019827664
33,"[0.00088189 0.00028855 0.00019099 0.00029428 0.00018135 0.00019104
 0.000191   0.00023526 0.00019101 0.00029426 0.00019295 0.00019136
 0.00018189 0.00023579 0.0001926  0.00021485 0.00019252 0.0001913
 0.00029429 0.00019253 0.00101711 0.00021695 0.00091807 0.00091816
 0.00021701]",0.9801279
34,"[ 0.12081941 -0.05487095 -0.06680281 -0.06678605 -0.06678434 -0.06679751
 -0.06683937 -0.06678392 -0.06677495 -0.06678256 -0.0667928  -0.06678413
 -0.06679809 -0.06680579 -0.06516564 -0.06678034 -0.06677888 -0.0667825
 -0.06679247 -0.06683081  0.420977    0.42097408  0.42128503  0.42117813
  0.42163244]",0.019827574
35,"[0.00070291 0.00013826 0.00017082 0.0005043  0.00020716 0.00027577
 0.00025749 0.00031136 0.00025788 0.00027168 0.00022843 0.00045407
 0.00027165 0.00022424 0.00023554 0.00023591 0.00045398 0.00027089
 0.00050421 0.00027168 0.00044157 0.00028393 0.0003967  0.00039654
 0.00028401]",0.9801278
36,"[6.2251597e-04 1.0307459e-04 1.0004340e-04 3.0801483e-04 4.9257436e-04
 2.1864673e-04 6.5045242e-05 2.5951423e-04 2.1859114e-04 4.9257826e-04
 2.1864218e-04 2.7427450e-04 1.9341381e-04 9.8631135e-06 2.1932193e-04
 1.9342426e-04 2.1933482e-04 2.1931200e-04 2.1863845e-04 2.1667648e-04
 8.8874891e-04 1.0997083e-04 8.8019529e-04 8.8018621e-04 1.0990334e-04]",0.9801279
37,"[ 0.12082859 -0.06455731 -0.06671916 -0.06672752 -0.06672582 -0.06624107
 -0.06457989 -0.06621628 -0.06626533 -0.0666769  -0.06681432 -0.06620638
 -0.06622774 -0.06624655 -0.06623289 -0.06674306 -0.06625116 -0.06623805
 -0.06626078 -0.06678528  0.4219376   0.42201534  0.42167398  0.42134497
  0.42204037]",0.019827813
38,"[0.000839   0.00024472 0.00024792 0.00024465 0.00024461 0.00019643
 0.00018877 0.00024465 0.00024466 0.00022079 0.00018897 0.00022605
 0.00022069 0.00022593 0.00019307 0.00020628 0.00020628 0.00019668
 0.00020633 0.00019655 0.00096791 0.00025284 0.00094411 0.00094416
 0.00025287]",0.9801278
39,"[ 0.12016033 -0.06472374 -0.06674086 -0.06626704 -0.06652249 -0.0666646
 -0.06630477 -0.06676401 -0.06476973 -0.06624871 -0.06660804 -0.06666277
 -0.06594855 -0.06630656 -0.06673399 -0.0659655  -0.06593534 -0.0662643
 -0.06475043 -0.06628291  0.42123112  0.4211607   0.4213587   0.42126274
  0.42191327]",0.019827902
40,"[ 0.12215841 -0.06539097 -0.06614549 -0.06450374 -0.06611891 -0.06651026
 -0.06647721 -0.06647778 -0.06658103 -0.06657144 -0.06657702 -0.06657474
 -0.0665742  -0.06648847 -0.0665746  -0.06658028 -0.06650244 -0.06656687
 -0.06657282 -0.06657594  0.42153782  0.42159668  0.42311975  0.42169535
  0.42235157]",0.019827545
41,"[ 0.11970168 -0.06493115 -0.0648092  -0.06496525 -0.0648836  -0.06495065
 -0.0649682  -0.06497414 -0.06484701 -0.06483353 -0.06482047 -0.06495462
 -0.06485432 -0.0648273  -0.0648188  -0.0648231  -0.06473884 -0.06485286
 -0.06484844 -0.06481675  0.41941485  0.41924167  0.4070493   0.4167612
  0.4167568 ]",0.019827425
42,"[ 0.12122049 -0.0645907  -0.06619479 -0.06610228 -0.06451131 -0.0664449
 -0.06649096 -0.06647532 -0.06643679 -0.06649976 -0.06650881 -0.0664465
 -0.06651121 -0.06648865 -0.06649791 -0.06649401 -0.06651174 -0.06656455
 -0.06653711 -0.06646483  0.42176512  0.4217416   0.42218295  0.42154738
  0.42240164]",0.019827604
43,"[ 0.12074319 -0.06650516 -0.06632125 -0.06657197 -0.06437621 -0.06656491
 -0.06629888 -0.06656348 -0.06634409 -0.06436339 -0.06632656 -0.0663401
 -0.06633008 -0.06661679 -0.06636312 -0.06631583 -0.06661536 -0.06634908
 -0.06630965 -0.06632993  0.42149803  0.42151594  0.4220269   0.42141792
  0.4221784 ]",0.019828081
44,"[ 0.12071678 -0.0548365  -0.06681275 -0.06519203 -0.06681345 -0.06680106
 -0.0667906  -0.06676117 -0.06679845 -0.0668108  -0.06678122 -0.06680319
 -0.06678897 -0.06680949 -0.06678079 -0.06677999 -0.06677848 -0.06675571
 -0.06676006 -0.06679286  0.4209246   0.42100912  0.4212876   0.42117012
  0.42165983]",0.019827545
45,"[ 0.12071059 -0.05516424 -0.06670627 -0.06668356 -0.06669584 -0.06667125
 -0.06673956 -0.0666893  -0.06667699 -0.06669604 -0.06669044 -0.06666716
 -0.06659917 -0.06665094 -0.0666635  -0.0666649  -0.06659148 -0.06669922
 -0.06667094 -0.06669245  0.42088863  0.4208871   0.42140585  0.42117724
  0.42170465]",0.019827306
46,"[ 0.12122204 -0.05875907 -0.06663984 -0.06663688 -0.06661191 -0.06669739
 -0.06662881 -0.06664958 -0.0666538  -0.0666381  -0.0666372  -0.06662755
 -0.06670132 -0.06664017 -0.06660862 -0.06661661 -0.0666083  -0.06664077
 -0.06663874 -0.06660422  0.42144278  0.42145976  0.42209768  0.42154714
  0.42220572]",0.019827545
47,"[ 2.5154382e-04  1.4752138e-04  2.4275736e-04  2.6899384e-04
  3.2522564e-04  9.5709146e-04  3.2535478e-04  3.2534514e-04
  2.4838423e-04  3.6776380e-04  2.6114917e-04  2.9441767e-04
  3.2533577e-04  3.6780891e-04  3.2572664e-04  3.6778828e-04
  3.6777311e-04  2.9439863e-04  3.2533650e-04 -2.0382649e-04
 -9.8822580e-05 -5.0904491e-05  1.2941155e-04  1.2940286e-04
 -5.0932373e-05]",0.98012805
48,"[ 0.12118061 -0.06628968 -0.06631316 -0.0663214  -0.06624815 -0.06627589
 -0.06630245 -0.06630912 -0.06631911 -0.06629749 -0.06627688 -0.06631164
 -0.06629226 -0.06629983 -0.06631865 -0.06631105 -0.06630935 -0.06631857
 -0.06632525 -0.06629021  0.42183903  0.42190677  0.42241547  0.42195368
  0.42265224]",0.019827694
49,"[ 0.1206474  -0.05534909 -0.06677856 -0.06676671 -0.06678225 -0.06679107
 -0.06675172 -0.06674691 -0.06519575 -0.06675805 -0.0667795  -0.06676814
 -0.06673479 -0.0667686  -0.06675237 -0.06676157 -0.06677687 -0.06675339
 -0.06677258 -0.06676818  0.4210032   0.4210246   0.42133263  0.4210755
  0.42168465]",0.019827485
50,"[0.00087706 0.00021973 0.00023097 0.00021081 0.00020806 0.00021073
 0.00021078 0.00021078 0.00021075 0.00020808 0.00021074 0.0002108
 0.00020804 0.00021973 0.00021078 0.00022276 0.00020814 0.00021078
 0.00022272 0.00020803 0.00097354 0.00026358 0.00093846 0.00093839
 0.00026362]",0.9801278
51,"[ 0.12079931 -0.06629648 -0.06630582 -0.06628428 -0.06628874 -0.06632724
 -0.06629229 -0.06633174 -0.06630354 -0.06630281 -0.06631595 -0.06616452
 -0.06634302 -0.06618571 -0.06629989 -0.06632954 -0.06631376 -0.06637151
 -0.06632146 -0.06631619  0.42206335  0.42194593  0.4224755   0.421928
  0.42270127]",0.019827336
52,"[0.00108735 0.00043268 0.0002346  0.00021264 0.00023331 0.00029205
 0.00011087 0.00018492 0.00024    0.00019168 0.00022529 0.00021648
 0.00043272 0.00020306 0.00015642 0.00043272 0.00028805 0.00022529
 0.00024056 0.00022749 0.00040574 0.00025435 0.00036751 0.000368
 0.00025433]",0.98012793
53,"[ 0.11953504 -0.06608374 -0.06629407 -0.0662943  -0.06627392 -0.06628366
 -0.06631039 -0.06628086 -0.06631082 -0.06629048 -0.06628802 -0.06608222
 -0.06629936 -0.06627236 -0.06631266 -0.06629245 -0.06628543 -0.06627529
 -0.06629615 -0.06626391  0.422157    0.42211914  0.42276335  0.42204922
  0.42285338]",0.019827485
54,"[ 0.12000126 -0.06704219 -0.06614794 -0.06769845 -0.06738907 -0.06540531
 -0.06542978 -0.06543545 -0.06543033 -0.06491479 -0.06538603 -0.06537593
 -0.06543075 -0.06533761 -0.06626809 -0.06543068 -0.06544709 -0.06628002
 -0.06542466 -0.06552665  0.42097238  0.42057186  0.4171121   0.4195596
  0.42034757]",0.019827664
55,"[6.22072257e-04 7.23645790e-05 2.24887015e-04 1.13925023e-04
 4.21928096e-04 2.24861433e-04 1.36092451e-04 4.21950681e-04
 2.74247810e-04 2.35811312e-04 2.24841351e-04 2.10093305e-04
 1.13895192e-04 1.04266073e-05 2.36367487e-04 2.36382504e-04
 2.35860411e-04 2.36380496e-04 1.04740175e-05 4.21487726e-04
 8.94675031e-04 1.05204905e-04 8.95888079e-04 8.96399491e-04
 1.05255313e-04]",0.98012793
56,"[1.6361923e-04 8.0736936e-05 2.9412561e-04 7.9787947e-05 3.0889164e-04
 3.0224997e-04 3.0510061e-04 3.0224083e-04 2.9438737e-04 9.1533191e-05
 2.9413935e-04 3.0223193e-04 3.0223723e-04 3.0226351e-04 3.0170282e-04
 3.0222532e-04 3.2323675e-05 3.0227582e-04 3.0201607e-04 3.0225937e-04
 5.0952908e-04 3.7928455e-04 4.8119290e-04 4.8119767e-04 3.7926590e-04]",0.980128
57,"[ 4.9590005e-04  1.6990816e-06  2.0853139e-03 -1.8872099e-04
  7.9560303e-04  3.7898077e-05  1.1604876e-05  3.7934777e-05
  2.0853234e-03  8.7221022e-05 -7.3808653e-05  8.7107794e-05
  1.3592877e-04 -7.3877251e-05  5.8260572e-05  1.3581960e-04
  1.8340704e-04  3.7913123e-05 -7.3850766e-05  5.9004815e-05
  3.6091631e-04  6.2091625e-05  4.5868522e-04  4.5868399e-04
  6.2071165e-05]",0.9801278
58,"[ 0.12109618 -0.06641815 -0.06635503 -0.0663695  -0.06635912 -0.06633694
 -0.06640451 -0.0664198  -0.06636859 -0.0664254  -0.06639177 -0.06642668
 -0.06638448 -0.0663752  -0.06637403 -0.06635757 -0.06632762 -0.06634805
 -0.06634207 -0.06637272  0.4225836   0.4226192   0.4225002   0.4218813
  0.42258662]",0.019827455
59,"[1.57633287e-04 1.65881473e-04 9.56441800e-05 1.04805804e-04
 1.16802330e-04 8.34305247e-05 8.15667881e-05 7.28795130e-05
 1.18106982e-04 7.96960521e-05 1.04691935e-04 1.04725856e-04
 8.15039384e-05 7.76080124e-05 7.81852577e-05 8.15495441e-05
 7.07136642e-05 7.82208081e-05 8.15019594e-05 9.19539889e-05
 2.50666798e-03 6.72438240e-04 7.65995472e-04 1.47705292e-03]",0.98012805
